Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2007-01-31,3.8227,3.9421,3.8184,3.912
2007-02-28,3.9003,3.9269,3.855,3.9231
2007-03-31,3.9093,3.9256,3.854,3.8601
2007-04-30,3.8603,3.8637,3.7654,3.7888
2007-05-31,3.7746,3.8359,3.735,3.816
2007-06-30,3.8095,3.8618,3.7534,3.7628
2007-07-31,3.7641,3.8272,3.7398,3.7884
2007-08-31,3.8087,3.8547,3.7606,3.8259
2007-09-30,3.8214,3.8277,3.7469,3.7705
2007-10-31,3.7657,3.7759,3.6042,3.6279
2007-11-30,3.6421,3.6974,3.6052,3.6119
2007-12-31,3.6099,3.6261,3.5603,3.5994
2008-01-31,3.593,3.673,3.5676,3.605
2008-02-29,3.5992,3.6289,3.5111,3.5125
2008-03-31,3.5319,3.5879,3.5134,3.5164
2008-04-30,3.5196,3.525,3.3987,3.4526
2008-05-31,3.4393,3.445,3.3675,3.37
2008-06-30,3.3768,3.4035,3.3471,3.3506
2008-07-31,3.3507,3.3616,3.2009,3.2112
2008-08-31,3.2158,3.3626,3.2025,3.3307
2008-09-30,3.3312,3.4898,3.2674,3.3958
2008-10-31,3.3915,3.9819,3.3701,3.5063
2008-11-30,3.5206,3.8914,3.4782,3.7776
2008-12-31,3.7785,4.1991,3.7718,4.0992
2009-01-31,4.1506,4.4725,3.8768,4.4478
2009-02-28,4.4445,4.924,4.4111,4.655
2009-03-31,4.7043,4.7827,4.4143,4.6499
2009-04-30,4.6483,4.6628,4.224,4.4201
2009-05-31,4.3659,4.5516,4.2928,4.5083
2009-06-30,4.504,4.5747,4.42,4.4544
2009-07-31,4.4458,4.4511,4.1394,4.1417
2009-08-31,4.143,4.2114,4.0643,4.0903
2009-09-30,4.084,4.2448,4.0725,4.2026
2009-10-31,4.21,4.2939,4.1418,4.2534
2009-11-30,4.2478,4.31,4.0798,4.162
2009-12-31,4.1609,4.23,4.0333,4.1001
2010-01-31,4.1041,4.1267,4.0019,4.0357
2010-02-28,4.0421,4.1159,3.9357,3.9467
2010-03-31,3.9474,3.9479,3.8552,3.8555
2010-04-30,3.8522,3.9561,3.8215,3.9218
2010-05-31,3.9111,4.2249,3.9035,4.0704
2010-06-30,4.084,4.2031,4.0113,4.13
2010-07-31,4.1536,4.1733,3.9869,4.0022
2010-08-31,3.997,4.0251,3.9219,3.9916
2010-09-30,3.9902,3.993,3.9151,3.9679
2010-10-31,3.9562,3.9977,3.8881,3.9602
2010-11-30,3.9697,4.1063,3.8743,4.0205
2010-12-31,4.0197,4.0636,3.9444,3.9518
2011-01-31,3.9602,3.9625,3.8265,3.9287
2011-02-28,3.9212,4.0014,3.8447,3.9578
2011-03-31,3.954,4.1066,3.9482,4.0288
2011-04-30,4.0215,4.0465,3.9235,3.9333
2011-05-31,3.9398,3.9899,3.8932,3.9509
2011-06-30,3.9464,4.0191,3.9229,3.9804
2011-07-31,3.9683,4.063,3.9263,4.0011
2011-08-31,3.9855,4.2244,3.9779,4.1277
2011-09-30,4.1401,4.5287,4.1322,4.4151
2011-10-31,4.4371,4.4392,4.266,4.3688
2011-11-30,4.4088,4.5562,4.333,4.4997
2011-12-31,4.4916,4.5823,4.3823,4.4647
2012-01-31,4.4425,4.5245,4.2061,4.2315
2012-02-29,4.2374,4.2414,4.1062,4.1199
2012-03-31,4.1273,4.1791,4.0856,4.1405
2012-04-30,4.1412,4.2155,4.1256,4.1731
2012-05-31,4.1723,4.4212,4.1489,4.3885
2012-06-30,4.3914,4.4283,4.2179,4.2218
2012-07-31,4.2227,4.2578,4.0972,4.1149
2012-08-31,4.107,4.2045,4.0264,4.1663
2012-09-30,4.1751,4.2154,4.0467,4.1121
2012-10-31,4.1138,4.1623,4.0587,4.1333
2012-11-30,4.1401,4.1901,4.0835,4.101
2012-12-31,4.1009,4.1359,4.0515,4.0829
2013-01-31,4.0673,4.2116,4.0548,4.1938
2013-02-28,4.1991,4.2052,4.1328,4.147
2013-03-31,4.1471,4.191,4.119,4.1745
2013-04-30,4.1771,4.1957,4.0904,4.1573
2013-05-31,4.1626,4.2937,4.1187,4.2723
2013-06-30,4.2712,4.3668,4.2006,4.328
2013-07-31,4.3173,4.3501,4.1985,4.252
2013-08-31,4.2448,4.2939,4.1779,4.2658
2013-09-30,4.2581,4.3071,4.1412,4.2173
2013-10-31,4.2174,4.2303,4.1548,4.1786
2013-11-30,4.1787,4.2168,4.1516,4.2016
2013-12-31,4.198,4.2047,4.125,4.1521
2014-01-31,4.1471,4.2592,4.1354,4.2474
2014-02-28,4.2478,4.2559,4.1367,4.1549
2014-03-31,4.1752,4.2437,4.1578,4.1597
2014-04-30,4.1597,4.2154,4.1541,4.198
2014-05-31,4.1902,4.2064,4.1312,4.1329
2014-06-30,4.1339,4.1711,4.0885,4.1526
2014-07-31,4.1531,4.1784,4.1176,4.1734
2014-08-31,4.1734,4.2309,4.1605,4.2055
2014-09-30,4.2032,4.2135,4.1631,4.1752
2014-10-31,4.1752,4.2366,4.1664,4.226
2014-11-30,4.2198,4.2383,4.1694,4.181
2014-12-31,4.1791,4.3973,4.145,4.2849
2015-01-31,4.2802,4.3672,4.1786,4.1834
2015-02-28,4.182,4.2226,4.1421,4.1457
2015-03-31,4.146,4.18,4.07047,4.07459
2015-04-30,4.0746,4.0925,3.9674,4.0415
2015-05-31,4.042,4.1546,4.0134,4.1106
2015-06-30,4.1095,4.2047,4.1085,4.19166
2015-07-31,4.1916,4.24,4.0961,4.1426
2015-08-31,4.1466,4.2657,4.1293,4.2303
2015-09-30,4.2302,4.2583,4.1817,4.24658
2015-10-31,4.2465,4.2955,4.2087,4.24994
2015-11-30,4.2467,4.28026,4.2075,4.26882
2015-12-31,4.2691,4.3717,4.2288,4.26333
2016-01-31,4.27296,4.51309,4.25823,4.41985
2016-02-29,4.42675,4.47307,4.34038,4.35099
2016-03-31,4.35035,4.35256,4.23618,4.243
2016-04-30,4.24298,4.42721,4.22693,4.3732
2016-05-31,4.37612,4.45704,4.3559,4.38625
2016-06-30,4.38625,4.52995,4.31467,4.37276
2016-07-31,4.37267,4.45667,4.35112,4.35588
2016-08-31,4.35823,4.36895,4.25585,4.36284
2016-09-30,4.36284,4.40382,4.27369,4.29529
2016-10-31,4.29699,4.34501,4.26293,4.30713
2016-11-30,4.30718,4.46144,4.29479,4.4554
2016-12-31,4.4554,4.50658,4.39347,4.40511
2017-01-31,4.41105,4.42163,4.31727,4.32136
2017-02-28,4.32126,4.33725,4.27337,4.30565
2017-03-31,4.30571,4.35358,4.21004,4.23042
2017-04-30,4.23479,4.28373,4.21282,4.22525
2017-05-31,4.2223,4.24033,4.15162,4.1819
2017-06-30,4.18134,4.26216,4.17388,4.23179
2017-07-31,4.23285,4.27102,4.19654,4.25472
2017-08-31,4.2538,4.29772,4.23568,4.24787
2017-09-30,4.248,4.33261,4.23024,4.3131
2017-10-31,4.31042,4.32527,4.22069,4.23899
2017-11-30,4.23905,4.25084,4.18731,4.2026
2017-12-31,4.20276,4.22534,4.16843,4.17669
2018-01-31,4.17655,4.19298,4.13034,4.15255
2018-02-28,4.15264,4.20334,4.13146,4.17609
2018-03-31,4.17605,4.24357,4.17482,4.21367
2018-04-30,4.21112,4.24194,4.1508,4.23874
2018-05-31,4.23879,4.34023,4.23523,4.31629
2018-06-30,4.31628,4.37739,4.25721,4.37375
2018-07-31,4.36836,4.41437,4.26811,4.27644
2018-08-31,4.27646,4.34379,4.24622,4.30319
2018-09-30,4.30094,4.33989,4.26598,4.28036
2018-10-31,4.27861,4.34699,4.27102,4.34251
2018-11-30,4.34269,4.34293,4.27599,4.29225
2018-12-31,4.28908,4.30784,4.27488,4.28995
2019-01-31,4.2878,4.3129,4.25878,4.26184
2019-02-28,4.26173,4.34533,4.26149,4.30378
2019-03-31,4.30389,4.31631,4.27763,4.30473
2019-04-30,4.30137,4.30583,4.27026,4.28569
2019-05-31,4.28571,4.3141,4.27519,4.28159
2019-06-30,4.28238,4.28534,4.24282,4.24548
2019-07-31,4.24399,4.29998,4.23731,4.29007
2019-08-31,4.29006,4.39957,4.28574,4.37451
2019-09-30,4.37887,4.39782,4.31677,4.37094
2019-10-31,4.37122,4.38514,4.255,4.26263
2019-11-30,4.26261,4.32848,4.25046,4.31466
2019-12-31,4.31433,4.31638,4.25092,4.25405
2020-01-31,4.2567,4.30723,4.21071,4.29678
2020-02-29,4.29697,4.3373,4.23629,4.32913
2020-03-31,4.33054,4.63472,4.2869,4.55781
2020-04-30,4.55907,4.60471,4.51264,4.54489
2020-05-31,4.54488,4.57349,4.40659,4.44866
2020-06-30,4.43642,4.48266,4.37114,4.44672
2020-07-31,4.44667,4.49558,4.38626,4.41226
2020-08-31,4.41818,4.42518,4.3746,4.39695
2020-09-30,4.39691,4.59715,4.3839,4.52928
2020-10-31,4.52923,4.64547,4.45535,4.60604
2020-11-30,4.6081,4.61694,4.45886,4.47892
2020-12-31,4.47891,4.62237,4.4176,4.56218
2021-01-31,4.56241,4.56391,4.49475,4.51952
2021-02-28,4.5201,4.52802,4.47096,4.52051
2021-03-31,4.52142,4.67834,4.50997,4.63237
2021-04-30,4.63244,4.6364,4.52032,4.55866
2021-05-31,4.55897,4.59076,4.47761,4.47897
2021-06-30,4.47836,4.56486,4.44367,4.51953
2021-07-31,4.51953,4.60174,4.49116,4.56992
2021-08-31,4.56641,4.59497,4.51476,4.52396
2021-09-30,4.52396,4.64793,4.50103,4.61033
2021-10-31,4.61056,4.6325,4.5393,4.6131
2021-11-30,4.61212,4.72778,4.57085,4.66035
2021-12-31,4.65763,4.66069,4.57921,4.58921
2022-01-31,4.59028,4.60144,4.50954,4.58055
2022-02-28,4.58055,4.72109,4.48249,4.7023
2022-03-31,4.70227,5.00341,4.63151,4.64762
2022-04-30,4.64707,4.7271,4.60655,4.6742
2022-05-31,4.67883,4.72085,4.55965,4.58432
2022-06-30,4.58436,4.74444,4.56381,4.70085
2022-07-31,4.70171,4.85162,4.68193,4.73988
2022-08-31,4.74274,4.78844,4.65494,4.72485
2022-09-30,4.72465,4.89335,4.68878,4.85838
2022-10-31,4.84452,4.89211,4.70557,4.71748
2022-11-30,4.71739,4.78497,4.65937,4.67079
2022-12-31,4.67079,4.72123,4.63454,4.68908
2023-01-31,4.68574,4.7508,4.65672,4.70898
2023-02-28,4.70902,4.79877,4.67916,4.70401
2023-03-31,4.70491,4.72006,4.66175,4.67907
2023-04-30,4.67648,4.69434,4.57139,4.58643
2023-05-31,4.58512,4.61518,4.47731,4.5318
2023-06-30,4.5319,4.54759,4.41962,4.43627
2023-07-31,4.43622,4.50424,4.39833,4.40374
2023-08-31,4.40385,4.49674,4.40176,4.47028
2023-09-30,4.46887,4.69663,4.46227,4.61787
2023-10-31,4.61861,4.64947,4.40971,4.45697
2023-11-30,4.45704,4.48028,4.31703,4.35305
2023-12-31,4.35246,4.36717,4.2928,4.34371
2024-01-31,4.34377,4.41251,4.32497,4.3297
2024-02-29,4.32938,4.35676,4.29424,4.31515
2024-03-31,4.31542,4.32783,4.27493,4.30428
2024-04-30,4.29421,4.37274,4.253,4.33448
2024-05-31,4.33501,4.3436,4.24707,4.27441
2024-06-30,4.27472,4.38099,4.27106,4.31122
2024-07-31,4.32037,4.33205,4.24726,4.28982
2024-08-31,4.28827,4.33114,4.26201,4.28204
2024-09-30,4.28321,4.30452,4.25325,4.28204
2024-10-31,4.28196,4.35769,4.27995,4.35258
2024-11-30,4.35251,4.3756,4.30875,4.33579
